id,phrase,memberId,dateAdded,lastUpdated
28718ba6-cccc-11e9-bea0-88e9fe785c3a,Visitor Center,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
30fc509e-cccc-11e9-bea0-88e9fe785c3a,Tough Customer,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
3daf18ee-cccc-11e9-bea0-88e9fe785c3a,Run Good,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
42bfdf1c-cccc-11e9-bea0-88e9fe785c3a,Collateral,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
4779275c-cccc-11e9-bea0-88e9fe785c3a,Window Shopping,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
4bae6530-cccc-11e9-bea0-88e9fe785c3a,Tail Lights,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
4fd39c84-cccc-11e9-bea0-88e9fe785c3a,Pockets,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
553437ba-cccc-11e9-bea0-88e9fe785c3a,Freedom From Fear,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
5ad54a7e-cccc-11e9-bea0-88e9fe785c3a,Recognized By Secret Signs,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
5f8ac9c2-cccc-11e9-bea0-88e9fe785c3a,Shark Smile,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
64b158bc-cccc-11e9-bea0-88e9fe785c3a,Settle Your Accounts,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019
69cf28ba-cccc-11e9-bea0-88e9fe785c3a,Chemical Vacation,582731e4-cccb-11e9-bea0-88e9fe785c3a,9/1/2019,9/1/2019